Pavard?     Vardas        ND1  ND2  ND3  ND4  ND5   Egzaminas
Vardas1     Pavarde1        1    6    8   10    7           9
Vardas2     Pavarde2        8    4    7    4    6           1
Vardas3     Pavarde3       10   10    5    0    6           3
Vardas4     Pavarde4        7    0    2   10    3           0
Vardas5     Pavarde5        0    2    9    4    3           2
Vardas6     Pavarde6       10    2   10    5    2          10
Vardas7     Pavarde7        2    4    7    8    2           7
Vardas8     Pavarde8        5   10    3    3    0           1
Vardas9     Pavarde9        0    9   10    0    8           1
Vardas10    Pavarde10       6    4    6    5    4           9
Vardas11    Pavarde11       8    1    5    4    2           9
Vardas12    Pavarde12       7    2    8    5    2           7
Vardas13    Pavarde13       8    2    3    4    6           1
Vardas14    Pavarde14       9    6    2    3    7           0
Vardas15    Pavarde15       6    9    6    1    0           4
Vardas16    Pavarde16      10    4    9    1    6           1
Vardas17    Pavarde17       6    5    6   10    4           1
Vardas18    Pavarde18       8    6    3    2    8           7
Vardas19    Pavarde19       1    6    6    8    2           4
Vardas20    Pavarde20       6    3    7    3    9           5
Vardas21    Pavarde21       8    1   10    2    8           7
Vardas22    Pavarde22       4    3   10   10    6           8
Vardas23    Pavarde23       1    7    2   10    4           7
Vardas24    Pavarde24       0    4    1    6    3           5
Vardas25    Pavarde25       2    2    4    8    2           8
Vardas26    Pavarde26       1    2    3    9    5           9
Vardas27    Pavarde27       4    4    9    4    8           3
Vardas28    Pavarde28       0    1    4    4    5           9
Vardas29    Pavarde29       1    5    7    4    8           8
Vardas30    Pavarde30       3   10    1    3    3           2
Vardas31    Pavarde31       5    5    0    8    7           0
Vardas32    Pavarde32       5    0    0    6    4           7
Vardas33    Pavarde33       3    5    7    9    7           5
Vardas34    Pavarde34       7    4    1   10    1           7
Vardas35    Pavarde35       1    9    8   10    2           2
Vardas36    Pavarde36       4    0    3    3    4           7
Vardas37    Pavarde37       3    6   10    4    5           6
Vardas38    Pavarde38       4   10    3    4    3           1
Vardas39    Pavarde39       1   10    6    0    9           8
Vardas40    Pavarde40       6    1    2    9    5           7
Vardas41    Pavarde41       3    7    9    2    7           5
Vardas42    Pavarde42       2    1    9    5    7           7
Vardas43    Pavarde43       2    7    1    3    0           6
Vardas44    Pavarde44       7    0    7    4    9           0
Vardas45    Pavarde45       7    0    0    3    9           0
Vardas46    Pavarde46      10    8    3    8    7           2
Vardas47    Pavarde47      10    2    9    7    9           7
Vardas48    Pavarde48       3    9    2    5    1           0
Vardas49    Pavarde49       7    7   10   10    4           4
Vardas50    Pavarde50      10    7    6    5    5           5
Vardas51    Pavarde51       4    3    5    2    7           6
Vardas52    Pavarde52       8    3    7    1    2           6
Vardas53    Pavarde53       9    9    6    0    7           3
Vardas54    Pavarde54       7   10    5   10    6          10
Vardas55    Pavarde55       0    6    4    2    8          10
Vardas56    Pavarde56      10    5    9    0    9           8
Vardas57    Pavarde57       3    9    8    0    7           3
