Pavard?     Vardas             Galutinis
----------------------------------------
Pavarde2    Vardas2                 5.80
Pavarde3    Vardas3                 9.12
Pavarde4    Vardas4                 7.60
Pavarde5    Vardas5                 5.20
Pavarde7    Vardas7                 8.40
Pavarde8    Vardas8                 7.92
Pavarde10   Vardas10                5.20
Pavarde11   Vardas11                6.04
Pavarde12   Vardas12                6.96
Pavarde18   Vardas18                6.84
Pavarde21   Vardas21                5.20
Pavarde22   Vardas22                6.08
Pavarde23   Vardas23                6.32
Pavarde26   Vardas26                6.56
Pavarde28   Vardas28                6.80
Pavarde29   Vardas29                6.64
Pavarde33   Vardas33                7.80
Pavarde36   Vardas36                7.12
Pavarde39   Vardas39                5.68
Pavarde40   Vardas40                6.92
Pavarde41   Vardas41                6.96
Pavarde42   Vardas42                6.88
Pavarde43   Vardas43                8.56
Pavarde44   Vardas44                5.20
Pavarde47   Vardas47                8.80
Pavarde48   Vardas48                7.48
Pavarde49   Vardas49                6.40
Pavarde50   Vardas50                7.32
Pavarde51   Vardas51                6.64
Pavarde52   Vardas52                6.16
Pavarde54   Vardas54                8.64
Pavarde55   Vardas55                6.12
Pavarde56   Vardas56                6.12
Pavarde57   Vardas57                5.16
Pavarde59   Vardas59                5.44
Pavarde60   Vardas60                5.20
Pavarde63   Vardas63                6.28
Pavarde64   Vardas64                6.16
Pavarde65   Vardas65                5.20
Pavarde68   Vardas68                8.24
Pavarde69   Vardas69                5.60
Pavarde72   Vardas72                7.00
Pavarde74   Vardas74                5.68
Pavarde75   Vardas75                7.80
Pavarde77   Vardas77                7.20
Pavarde81   Vardas81                7.28
Pavarde82   Vardas82                6.64
Pavarde83   Vardas83                6.20
Pavarde84   Vardas84                5.16
Pavarde85   Vardas85                6.00
Pavarde89   Vardas89                8.00
Pavarde90   Vardas90                7.64
Pavarde92   Vardas92                6.40
Pavarde93   Vardas93                5.76
Pavarde94   Vardas94                5.72
Pavarde95   Vardas95                6.24
Pavarde96   Vardas96                6.96
Pavarde98   Vardas98                6.48
Pavarde100  Vardas100               5.84
Pavarde101  Vardas101               6.04
Pavarde103  Vardas103               8.40
Pavarde105  Vardas105               7.20
Pavarde106  Vardas106               7.68
Pavarde108  Vardas108               6.84
Pavarde110  Vardas110               5.32
Pavarde111  Vardas111               6.84
Pavarde114  Vardas114               6.28
Pavarde115  Vardas115               7.20
Pavarde120  Vardas120               7.20
Pavarde127  Vardas127               5.48
Pavarde128  Vardas128               6.64
Pavarde129  Vardas129               8.00
Pavarde130  Vardas130               5.76
Pavarde131  Vardas131               8.24
Pavarde135  Vardas135               7.28
Pavarde137  Vardas137               7.28
Pavarde140  Vardas140               6.56
Pavarde141  Vardas141               7.36
Pavarde142  Vardas142               6.80
Pavarde143  Vardas143               6.08
Pavarde144  Vardas144               7.60
Pavarde146  Vardas146               5.24
Pavarde148  Vardas148               5.68
Pavarde149  Vardas149               5.36
Pavarde150  Vardas150               7.40
Pavarde151  Vardas151               7.16
Pavarde152  Vardas152               6.92
Pavarde154  Vardas154               5.84
Pavarde155  Vardas155               6.92
Pavarde156  Vardas156               5.56
Pavarde158  Vardas158               6.32
Pavarde159  Vardas159               7.84
Pavarde162  Vardas162               8.60
Pavarde166  Vardas166               5.28
Pavarde168  Vardas168               8.48
Pavarde169  Vardas169               5.20
Pavarde170  Vardas170               7.28
Pavarde171  Vardas171               5.48
Pavarde173  Vardas173               8.00
Pavarde174  Vardas174               6.44
Pavarde175  Vardas175               6.56
Pavarde177  Vardas177               6.60
Pavarde178  Vardas178               7.52
Pavarde182  Vardas182               7.68
Pavarde184  Vardas184               7.92
Pavarde185  Vardas185               7.52
Pavarde187  Vardas187               8.20
Pavarde191  Vardas191               5.96
Pavarde192  Vardas192               7.16
Pavarde193  Vardas193               5.04
Pavarde194  Vardas194               5.88
Pavarde195  Vardas195               5.28
Pavarde198  Vardas198               7.68
Pavarde199  Vardas199               6.96
Pavarde200  Vardas200               5.40
Pavarde201  Vardas201               5.16
Pavarde202  Vardas202               7.20
Pavarde203  Vardas203               7.72
Pavarde206  Vardas206               7.64
Pavarde211  Vardas211               6.08
Pavarde213  Vardas213               8.04
Pavarde214  Vardas214               6.04
Pavarde215  Vardas215               7.20
Pavarde216  Vardas216               5.64
Pavarde217  Vardas217               6.64
Pavarde219  Vardas219               6.92
Pavarde224  Vardas224               6.24
Pavarde226  Vardas226               6.92
Pavarde227  Vardas227               6.16
Pavarde228  Vardas228               8.20
Pavarde229  Vardas229               5.84
Pavarde236  Vardas236               7.20
Pavarde237  Vardas237               6.04
Pavarde238  Vardas238               5.88
Pavarde241  Vardas241               6.80
Pavarde243  Vardas243               6.28
Pavarde245  Vardas245               5.00
Pavarde248  Vardas248               7.36
Pavarde249  Vardas249               5.92
Pavarde250  Vardas250               7.28
Pavarde251  Vardas251               7.44
Pavarde254  Vardas254               7.20
Pavarde255  Vardas255               8.48
Pavarde257  Vardas257               6.24
